,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),Z,age (yr),flag,abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),distance_star_gas(kpc),CIELOidx_closest_gas_particle
646,27831628,0.11757635,-0.946962,0.56712604,23.669632,-11.812257,0.7631813,16226.196,0.00092981866,7823014736.175537,0.0,3911.8625,1.4178638,0.286344,9.501555,1.0623915,1.1629618,12299.245,0.021445023,0.9420047,0.6058644,0.0818679,0.0051223645,0.04971849067569702,2175317310
647,27977720,-0.0029604286,-0.91203153,0.5811325,-1.6148381,-30.16384,6.2356167,16099.969,6.28221e-06,5890451431.274414,0.0,3864.1116,0.009407915,0.0019875683,0.06627494,0.004293267,0.007386678,12235.756,0.00031160752,0.007115217,0.0038172747,0.0005046567,4.4259257e-05,0.11448711874827149,2175317310
648,28192886,0.023032136,-0.8627567,0.43572754,26.33113,23.95118,-12.545987,16309.363,0.0016798704,504156112.67089844,0.0,3942.671,2.4185948,0.506764,16.550045,2.6067443,2.1884916,12339.295,0.07618923,1.7435887,1.143447,0.15293325,0.010819105,0.15058074078989078,2175317310
649,27832881,0.2826223,-0.8082007,0.44416204,13.375858,0.29769397,-28.039558,16814.018,0.0058102766,1669679641.7236328,0.0,4128.4365,8.45585,1.6893654,53.73901,14.766736,8.5655575,12587.888,0.1205149,5.181689,4.5273037,0.6203296,0.027734432,0.060641311473918984,27651416
650,28070339,0.20049751,-0.9417667,0.48884383,37.133934,8.447487,-33.810566,16121.297,0.00013510506,908050537.109375,0.0,3872.3008,0.22895673,0.045419343,1.390282,0.09525107,0.1675574,12246.819,0.0031763013,0.14629728,0.08782207,0.012686033,0.0006208541,0.12115673798437165,2175317310
651,28171226,0.19721729,-0.86357903,0.48568523,22.071995,11.854246,15.332487,16272.914,0.0014568524,7385481357.574463,0.0,3927.7458,2.0403545,0.40032417,11.9761,4.51569,2.2163534,12321.462,0.030435283,1.1767511,1.179932,0.16527958,0.006012782,0.09219078132229376,27651416
652,27833313,0.16938278,-0.96167314,0.5114808,25.045603,-14.95416,-2.5968874,16100.44,8.203304e-05,3182101249.694824,0.0,3863.7888,0.059214555,0.010420782,0.17531432,0.7662339,0.18880004,12235.331,1.4221301e-06,0.0024764682,0.10371742,0.014589094,0.0,0.09734325996286743,2175317310
653,27896166,0.23768517,-0.9671787,0.6086102,19.764006,-0.76128954,-20.844812,16465.463,0.0016803688,12118480682.373047,0.0,4005.445,3.4139674,0.6203804,17.22902,1.0542476,2.1668515,12432.351,0.0016184414,1.8557259,1.1414188,0.17908052,0.005741479,0.11600973204522573,2175556755
654,27527181,0.2525532,-0.78761744,0.6177587,-6.817024,-3.976579,-19.182756,16331.426,0.0015156558,12793969154.35791,0.0,3952.553,2.485795,0.49513438,16.17623,1.0140295,1.8411946,12354.12,0.02709992,1.6158415,0.9573181,0.13231929,0.007860551,0.06513020693029757,28003411
655,27530071,0.23884991,-0.76395404,0.60422903,28.413027,26.17886,22.413313,17403.629,0.00894994,8856672286.987305,0.0,4356.475,14.520195,2.9561036,95.11699,13.272776,12.397144,12891.393,0.3024907,9.765896,6.4883914,0.88818127,0.053248007,0.0710680084437617,28003411
656,27685231,0.17223504,-0.7283122,0.5750161,3.8192418,-26.38344,3.5295606,16158.922,0.00036588009,6427130699.157715,0.0,3886.543,0.618772,0.118047625,3.5147767,0.5209654,0.49175736,12266.466,0.0009761995,0.34735736,0.26021487,0.038211092,0.0011490448,0.10546876617857158,28003411
657,27923292,0.121379375,-0.7178342,0.65048957,5.7386665,28.879148,14.745722,16164.533,0.00042528028,10026520729.064941,0.0,3888.3357,0.6652587,0.12441864,3.8648424,0.88774985,0.55977416,12269.322,0.015712768,0.42270216,0.2909281,0.039876513,0.0031949782,0.05370204846351749,28190448
658,28127228,0.34212965,-0.74956274,0.6793037,-41.112347,75.490555,-0.58485484,16123.543,0.0001630756,8278148651.123047,0.0,3873.0942,0.2636858,0.051319182,1.6529585,0.17374901,0.20531487,12247.819,0.0007279786,0.15836373,0.10748402,0.015075818,0.0006773898,0.09843446060242246,27444334
659,28093090,0.42229337,-0.8392681,0.6701604,-5.7585354,26.137463,11.0879965,16201.746,0.0006098533,5879548072.814941,0.0,3902.5378,1.0373281,0.18856354,5.0012164,1.6395451,0.9285241,12289.328,0.0005709774,0.51099575,0.49723053,0.07525313,0.0014599619,0.09350554883701231,27524429
660,2175627011,0.32434982,-0.92553604,0.6895298,-4.2068214,21.077755,8.147093,16202.726,0.00093597826,4690892219.543457,0.0,3901.7673,1.2653016,0.25229713,8.012259,2.658331,1.3720641,12285.793,0.017311668,0.7572487,0.7271223,0.09931298,0.0041496707,0.07432144113827979,27524429
661,27486901,0.30096024,-0.9610846,0.71307427,-26.971418,8.875524,-19.510366,16389.559,0.002172546,3536842346.1914062,0.0,3973.206,3.2435896,0.67913413,22.461283,2.420879,2.7195318,12380.746,0.09766727,2.3687348,1.4134881,0.18823963,0.014520816,0.10488844573552081,27524429
662,27572053,0.3973707,-0.8979871,0.6772886,4.334912,10.40322,20.815151,16490.193,0.0027876322,10804640769.958496,0.0,4011.3237,4.303071,0.86921024,28.629982,3.4950588,3.5540738,12432.9,0.085402094,2.9157043,1.8496108,0.24937814,0.017106986,0.03382909727341478,27524429
663,28108550,0.38817197,-0.9120268,0.580848,-40.730167,-6.6292353,-13.266754,16118.132,7.2234136e-05,6443284034.729004,0.0,3871.1084,0.15708527,0.024130777,0.71705586,0.060298983,0.076351024,12245.859,0.0007495146,0.08453313,0.03774565,0.005544838,0.0007845323,0.11712237717756109,27524429
664,27392980,0.4900377,-0.7033909,0.48506558,-32.850708,-14.70871,-27.00265,16199.312,0.00074261514,7456278800.964355,0.0,3901.5908,1.1234227,0.22542621,7.436642,0.98859054,0.9468131,12285.689,0.014654794,0.72869796,0.49458674,0.06714757,0.0038724926,0.14111243165278553,27730378
665,27692022,0.43304953,-0.6957632,0.49635243,29.88032,-16.476686,-14.947541,17393.734,0.007014301,7275828361.51123,0.0,4357.85,12.955853,2.399104,76.62801,7.6078544,9.132838,12913.88,0.0814966,7.7713656,4.7222404,0.6608278,0.04529561,0.10379159610009595,27730378
666,27978454,0.4208794,-0.74266666,0.49769622,25.735222,-0.67893517,5.140691,16456.084,0.0015785354,12786157608.032227,0.0,4001.1,3.1985364,0.5393984,16.356148,1.1922412,1.8340138,12429.007,0.005932037,1.7674118,0.93402874,0.13685523,0.011946173,0.09194220840808633,27730378
667,27723627,0.40156642,-0.8012045,0.49382046,23.682999,22.46878,-18.789923,16867.586,0.0057731406,519852638.2446289,0.0,4152.929,8.731388,1.8166116,56.292698,11.167306,8.096969,12617.278,0.40561497,5.9945393,4.2546177,0.5902599,0.028940106,0.10510643141207757,27730378
