,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
1282,2150430892,-3.7560918,-3.324885,-0.22453547,-1.9359627,-5.5759993,10.363868,181067.77,0.15082045,0.02207434,0.93613285,366613.5,179.60922,0.0,48142.035,375.54343,76.9372,2547.7375,242.17517,302.96918,128928.77,9.908899,261.76083,157.24118,21.131136,1.5465734,1.659921
1283,3395577,-3.151917,-3.961662,1.1717384,-10.227491,-42.616558,37.841133,343168.7,0.0711981,0.016226685,1.0194995,144509.73,188.89478,0.0,89158.28,530.42706,110.03203,3569.9175,290.2618,418.63766,248441.94,18.849052,381.45734,217.2025,29.50179,2.203247,2.4597418
1284,2151081175,-4.6287403,-5.043669,1.3301209,-81.2367,-94.722336,52.758938,169211.83,0.039542634,0.015599654,1.0558939,77054.96,200.44724,0.0,43675.586,243.95274,51.60981,1643.6025,182.52028,202.89177,122896.59,14.698645,179.55602,105.4449,14.446905,0.92242205,2.7377267
1285,2151080753,-5.626136,-5.653521,1.0944846,-35.296978,10.49362,-18.20654,158604.69,0.046418067,0.008311514,1.0385059,92993.71,203.05246,0.0,39624.73,124.05985,25.580683,850.81396,69.13968,98.361824,117661.7,3.3399808,88.68188,50.922245,6.792871,0.55230325,2.5730388
1286,3294290,-6.468304,-6.0316653,0.43591917,0.2566681,57.422935,-39.18708,323389.0,0.047555722,0.010705727,1.0399015,93016.04,195.72401,0.0,81549.47,319.4928,65.9452,2170.5864,244.67093,266.04932,238377.42,9.312878,227.94666,138.17838,18.477081,1.4545648,2.8109715
1287,2150433981,-5.568945,-6.546366,0.54679966,-45.31858,-3.3038743,-18.22064,173201.16,0.04347633,0.01825009,1.0536426,83375.92,193.30534,0.0,45182.688,289.455,61.92695,2035.6569,163.18585,234.02766,124857.54,15.2955675,223.08385,120.86873,16.073633,1.3625816,2.687457
1288,3199632,-4.9545736,-6.521989,1.3883073,-72.1522,-23.167988,-14.621025,308643.72,0.040338766,0.004458636,1.0426577,79089.17,201.63474,0.0,75994.836,140.19814,26.001905,835.62354,117.797806,105.53037,231272.73,1.950524,86.46303,54.487865,7.4711113,0.6055502,2.873435
1289,2295570,-4.1663785,-7.993833,1.9216974,-68.16146,-76.20648,13.669527,299118.56,0.02778548,0.0020394658,1.0560601,51540.97,195.83888,0.0,72336.195,51.57736,10.36215,329.58755,98.50983,54.14479,226172.33,1.1267107,32.03666,28.610613,3.9014468,0.1849839,3.2906718
1290,2150331933,-5.3738856,-5.856723,4.043007,-63.02534,-24.44597,9.841855,173303.17,0.06008899,0.020149712,1.0347235,140105.88,237.46288,0.0,45059.973,302.93494,63.525246,2016.3438,416.00256,290.5575,124751.19,13.752043,214.58226,152.36147,20.675581,1.2732134,2.228439
1291,2150782978,-4.867862,-5.9620495,4.0663986,-61.778687,-55.57851,60.41928,201585.75,0.040502217,0.032766983,1.0754834,88651.21,234.09138,0.0,55926.73,607.0344,127.88404,4041.7993,525.2195,518.9087,139053.67,32.273254,442.1765,270.55075,37.11801,2.3919623,2.665634
1292,2150578141,-5.7287393,-5.3650484,3.462292,-71.13994,0.6917855,-1.1789016,174098.97,0.056907956,0.018057184,1.0384887,110694.53,187.71426,0.0,45492.66,296.1879,60.638325,1974.5076,212.08836,242.54027,125462.56,7.9251122,205.2556,126.25834,17.14012,1.195906,2.370429
1293,3550190,-4.9459553,-5.2970376,2.2634637,-32.96001,-38.48549,23.949886,345451.03,0.03794601,0.018371098,1.0606024,71399.195,192.18645,0.0,89904.68,575.8329,120.63822,3949.8223,476.14633,490.06345,249200.02,24.937748,417.61484,254.62825,34.17473,2.4553173,2.9770696
1294,2151022009,-3.35802,-6.0125475,6.564089,-54.781647,-60.56238,84.16559,165056.33,0.03753799,0.0136891985,1.0565608,69929.79,189.98573,0.0,42139.926,200.5621,45.476383,1468.823,93.48689,161.80493,120656.914,21.294518,173.09792,82.96164,11.032426,0.94863075,2.901289
1295,3443661,-5.05977,-5.5778527,4.8049264,-55.93653,-17.566536,3.843705,360257.72,0.05318203,0.022499988,1.0476422,101914.85,186.44852,0.0,95581.055,737.67444,157.38855,5162.9214,478.50592,608.41437,256570.84,37.05495,563.6197,314.82523,41.908524,3.4809084,2.6829102
1296,2094013,-1.684552,-7.628054,5.4394507,-52.740673,-62.800182,9.798914,294864.75,0.04801015,0.0,1.0282418,96488.164,202.66017,0.0,70767.54,0.0,0.0,0.0,0.0,0.0,224097.2,0.0,0.0,0.0,0.0,0.0,2.7912853
1297,3194982,-1.6908094,-5.7785425,5.446,-45.676277,-17.89207,54.36021,324044.12,0.02569755,0.010563676,1.0685503,50461.793,213.4754,0.0,81904.16,322.753,67.96187,2231.5532,146.1397,250.53078,238716.86,15.423299,240.6596,129.32207,17.377083,1.376573,3.5008833
1298,2346416,-1.1900802,-7.205594,5.7017207,-34.77147,-82.102806,44.169987,301914.34,0.067802325,0.002609154,1.0083014,137612.31,191.48854,0.0,73451.47,77.69053,15.163591,514.82385,38.022186,58.628525,227675.12,0.31438342,48.32492,30.404781,4.119295,0.24888954,2.4892342
1299,6881167,-1.4773777,-6.7077208,6.0071516,-28.37907,-56.824074,44.29949,294866.47,0.07888668,6.8753627e-07,0.99262613,164549.31,190.6693,0.0,70768.195,0.01900365,0.003985557,0.1325095,0.008754352,0.014878378,224098.06,0.0006293237,0.0141774295,0.0076836185,0.0010183385,9.121946e-05,2.3905363
